所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
【0208版本】流程中心,流程发起 数据目录发布流程 验证数据标准责任领域选项,无,"1. 进入【数据架构-数据目录发布流程】表单页面
2. 不选择数据标准责任领域, 点击【发起流程】
3. 选择数据标准责任领域, 点击【发起流程】
","1. 成功进入表单页面
3. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 验证更新周期选项,无,"1. 进入【数据架构-数据目录发布流程】表单页面
2. 检查更新周期下拉选项
3. 不选择更新周期, 点击【发起流程】
4. 选择更新周期为每日, 点击【发起流程】
","1. 成功进入表单页面
2. 不定期、实时、每日、每周、每月、每季度、每年
3. 必填提示
4. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 验证资源分类选项,无,"1. 进入【数据架构-数据目录发布流程】表单页面
2. 检查资源分类下拉选项
3. 不选择资源分类, 点击【发起流程】
4. 选择资源分类为结构化资源, 点击【发起流程】
","1. 成功进入表单页面
2. 非结构化资源、结构化资源、时序数据、声像数据资源
3. 必填提示
4. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 验证L3节点支持选择多选,拥有【数据安全定级流程】发起权限且对应L2节点下存在多个当前用户为"数据标准责任人"的L3节点,"1. 进入【数据安全-数据目录发布流程】表单页面
2. 在【认责数据所属L2业务域】中选择一个L2节点并加载L3
3. 检查L3明细列表中显示的L3数量
4. 为多个L3分别填写当前安全等级
5. 点击【发起流程】按钮
6. 进入流程列表, 查看流程详情
","1. 成功进入表单页面
2. L3节点加载成功
3. L3明细列表中正确显示该L2下所有符合条件的L3节点
4. 填写成功
5. 流程发起成功
6. 流程详情中显示所有已加载的L3节点信息,数量与L2下符合条件的L3数量一致
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 验证发起数据目录发布流程完整流程,拥有【数据安全定级流程】发起权限且对应L2节点下存在当前用户为"数据标准责任人"的L3节点,"1. 进入【流程中心-流程发起】页面
2. 检查页面展示的流程目录结构
3. 点击【数据架构-数据目录发布流程】二级目录
4. 在【(L2)数据所属业务域】中选择L2节点
5. 检查回显的L3明细列表
6. 选择资源分类(非结构化资源/结构化资源/时序数据/声像数据资源)
7. 选择更新周期(不定期、实时、每日、每周、每月、每季度、每年)
8. 选择数据标准责任领域(53个核电标准领域)
9. 填写目录发布信息备注(1-2000位)
10. 点击【发起流程】按钮
11. 查看流程列表,确认流程已发起
","1. 页面加载正常
2. 展示二层目录结构
3. 成功跳转至数据目录发布流程配置表单页面
4. 选择成功,下拉列表中正确显示所有L2节点
5. 正确列出该L2下所有数据标准责任人=当前用户的L3业务对象明细列表
6. 选择成功
7. 选择成功
8. 选择成功
9. 填写成功
10. 流程发起成功,业务流水号格式为SJRZ+8位日期+本日第几个提交的表单
11. 流程列表中新增一条流程记录,流程状态: 审批中
",,1,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 主数据识别流程 异常场景 验证主数据识别流程(非直接管理业务对象),1) L3业务对象字段数据完整<br>2) 当前用户不存在未办结的主数据识别流程<br>3) 存在记录: L2责任人 != 当前用户 and L3清单中存在L3数据责任人 != 当前用户,"1. 点击【发起流程】按钮
2. 点击【确定】
","1. 弹窗二次确认, “存在非直接受您管埋的业务对象，是否确认提交？”
2. 提交成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 主数据识别流程 异常场景 验证主数据识别流程(重复性校验拦截),"拥有发起权限且当前用户存在未办结的主数据识别流程,该流程中包含L3节点A和B","1. 进入【数据安全-主数据识别流程】表单页面
2. 在【认责数据所属L2业务域】中选择L2并加载L3
3. 检查系统自动加载的L3明细列表
4. 检查L3查询结果
5. 移除非目标的L3后, 为剩余L3赋予勾选匹配规则项(主数据)
6. 点击【发起流程】按钮
","1. 成功进入表单页面
2. 加载成功
3. 列出该L2下所有L3数据责任人 = 当前用户的L3业务对象
4. 1) 查询结果 > 0, L3清单填充该 L2下所有L3
2) 查询结果 = 0, L3清单填充查询结果
5. 配置成功
6. Toast提示: 请勿重复提交
",,1,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 主数据识别流程 异常场景 验证主数据识别流程(未授权访问拦截),无【数据安全定级流程】发起权限,"1. 进入【流程中心-流程发起】页面
2. 点击【数据安全-主数据识别流程】二级目录
","1. 进入成功
2. Toast提示: 您不是本流程的发起者,无法进入流程配置表单页面
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 主数据识别流程 验证无匹配L3可定级拦截,拥有发起权限且当前用户在某L2下并无作为"数据标准责任人"的L3节点,"1. 进入【数据安全-主数据识别流程】表单页面
2. 在【认责数据所属L2业务域】中选择一个L2节点
","1. 成功进入表单页面
2. 1) Toast提示: 无您可定级数据
2) 系统不生成对应的L3明细表单,L3明细列表为空
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 主数据识别流程 验证已办结流程可重复发起,拥有【数据安全定级流程】发起权限且存在已办结的数据安全定级流程,"1. 进入【数据安全-主数据识别流程】表单页面
2. 选择与已办结流程相同的L2节点并加载L3
3. 点击【发起流程】
4. 查看流程列表
","1. 成功进入表单页面
2. 加载成功
3. 流程发起成功
4. 流程列表中新增一条流程记录,与之前的已办结流程独立,互不影响,业务流水号不同
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 主数据识别流程 验证数据类别自动判断逻辑(业务数据场景),无,"1. 进入【数据架构-主数据识别流程】表单页面
2. 在【认责数据所属L2业务域】中选择L2节点
3. 检查L3明细列表
4. 只勾选是否匹配规则1、2、3的复选框(规则4不勾选)
5. 检查数据类别字段的值
6. 点击【发起流程】
","1. 成功进入表单页面
2. L2节点选择成功
3. L3明细列表正常显示
4. 勾选成功
5. 数据类别自动判断为业务数据(4种规则未全部为true时为业务数据)
6. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 主数据识别流程 验证数据类别自动判断逻辑(主数据场景),无,"1. 进入【数据架构-主数据识别流程】表单页面
2. 在【认责数据所属L2业务域】中选择L2节点
3. 检查L3明细列表
4. 勾选是否匹配规则1、2、3、4的复选框
5. 检查数据类别字段的值
6. 点击【发起流程】
","1. 成功进入表单页面
2. L2节点选择成功
3. L3明细列表正常显示
4. 勾选成功
5. 数据类别自动判断为主数据(4种规则全部为true时为主数据)
6. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 主数据识别流程 验证表单字段回显完整性,无,"1. 进入【数据安全-主数据识别流程】表单页面
2. 在【认责数据所属L2业务域】中选择一个L2节点并加载L3
3. 检查L3明细列表回显的字段信息
","1. 成功进入表单页面
2. 加载成功
3. L3字段正确回显
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 主数据识别流程 验证发起主数据识别流程完整流程,拥有【数据安全定级流程】发起权限且对应L2节点下存在当前用户为"数据标准责任人"的L3节点,"1. 进入【流程中心-流程发起】页面
2. 检查页面展示的流程目录结构
3. 点击【数据架构-主数据识别流程】二级目录
4. 在【认责数据所属L2业务域】中选择L2节点
5. 检查回显的L3明细列表
6. 勾选是否匹配规则1-7的复选框(4个规则全部勾选)
7. 检查系统自动判断的数据类别
8. 点击【发起流程】按钮
9. 查看流程列表,确认流程已发起
","1. 页面加载正常
2. 展示二层目录结构
3. 成功跳转至主数据识别流程配置表单页面
4. 选择成功,下拉列表中正确显示所有L2节点
5. 正确列出该L2下所有数据标准责任人=当前用户的L3业务对象明细列表
6. 勾选成功
7. 数据类别自动判断为主数据(4种规则全部为true时为主数据、否则为业务数据)
8. 流程发起成功,业务流水号格式为SJRZ+8位日期+本日第几个提交的表单
9. 流程列表中新增一条流程记录,流程状态: 审批中
",,1,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 异常场景 验证数据源认证流程(非直接管理业务对象),1) L3业务对象字段数据完整<br>2) 当前用户不存在未办结的数据安全定级流程<br>3) 存在记录: L2责任人 != 当前用户 and L3清单中存在L3数据责任人 != 当前用户,"1. 点击【发起流程】按钮
2. 点击【确定】
","1. 弹窗二次确认, “存在非直接受您管埋的业务对象，是否确认提交？”
2. 提交成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 异常场景 验证数据源认证流程(重复性校验拦截),"1) L3业务对象字段数据完整<br>2) 拥有发起权限且当前用户存在未办结的数据安全定级流程,该流程中包含L3节点A和B","1. 点击【发起流程】按钮
","1. Toast提示: 请勿重复提交
",,1,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 异常场景 验证数据源认证流程(完整性校验拦截),拥有发起权限且存在L3业务对象字段数据不完整: 业务对象数据标准责任人工号为空,"1. 进入【数据安全-数据源认证流程】表单页面
2. 在【认责数据所属L2业务域】中选择L2并加载L3
3. 检查L3业务对象明细列表
4. 检查L3查询结果
5. 移除非目标的L3后, 为剩余L3赋予数据源属性
6. 点击【发起流程】
","1. 成功进入表单页面
2. 加载成功
3. 列出该L2下所有L3数据责任人 = 当前用户的L3业务对象
4. 1) 查询结果 > 0, L3清单填充该 L2下所有L3
2) 查询结果 = 0, L3清单填充查询结果
5. 配置成功
6. Toast提示: 表单填写校验不通过
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 异常场景 验证数据源认证流程(未授权访问拦截),无【数据安全定级流程】发起权限,"1. 进入【流程中心-流程发起】页面
2. 点击【数据安全-数据源认证流程】二级目录
","1. 进入成功
2. Toast提示: 您不是本流程的发起者,无法进入流程配置表单页面
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证无匹配L3可认证拦截,拥有发起权限且当前用户在某L2下并无作为"数据标准责任人"的L3节点,"1. 进入【数据架构-数据源认证流程】表单页面
2. 在【认责数据所属L2业务域】中选择该L2节点
","1. 成功进入表单页面
2. 1) Toast提示: 无您可认责数据
2) 系统不生成对应的L3明细表单,L3明细列表为空
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证已办结流程可重复发起,无,"1. 进入【数据架构-数据源认证流程】表单页面
2. 在【认责数据所属L2业务域】中选择L2并加载L3
3. 点击【发起流程】
4. 查看流程列表
","1. 成功进入表单页面
2. 加载成功
3. 流程发起成功
4. 流程列表中新增一条流程记录,与之前的已办结流程独立,互不影响,业务流水号不同
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证产生方式枚举值校验,无,"1. 进入【数据架构-数据源认证流程】表单页面
2. 检查产生方式下拉选项
3. 分别选择人工录入和接口产生, 点击【发起流程】
","1. 成功进入表单页面
2. 产生方式下拉选项包含:人工录入、接口产生
3. 流程发起成功
",,3,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证备注/冲突解决方案长度校验,无,"1. 进入【数据架构-数据源认证流程】表单页面
2. 在备注/冲突解决方案字段输入超过2000位的文本, 点击【发起流程】
3. 修改备注/冲突解决方案为2000位以内的文本, 点击【发起流程】
","1. 成功进入表单页面
2. 红色警告提示
3. 流程发起成功
",,3,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证权威数据源编码长度校验,无,"1. 进入【数据架构-数据源认证流程】表单页面
2. 在权威数据源编码字段输入超过100位的文本, 点击【发起流程】
3. 修改权威数据源编码字段为100位以内的文本, 点击【发起流程】
","1. 成功进入表单页面
2. 红色警告提示
3. 流程发起成功
",,3,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证权威数据源长度校验,无,"1. 进入【数据架构-数据源认证流程】表单页面
2. 在权威数据源字段输入超过100位的文本, 点击【发起流程】
3. 修改权威数据源为100位以内的文本, 点击【发起流程】
","1. 成功进入表单页面
2. 红色警告提示
3. 流程发起成功
",,3,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证产生方式必填校验,无,"1. 进入【数据架构-数据源认证流程】表单页面
2. 不选择产生方式, 点击【发起流程】
3. 选择产生方式, 点击【发起流程】
","1. 成功进入表单页面
2. 红色必填提示
3. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证权威数据源编码必填校验,无,"1. 进入【数据架构-数据源认证流程】表单页面
2. 不填写权威数据源编码, 点击【发起流程】
3. 填写权威数据源编码, 点击【发起流程】
","1. 成功进入表单页面
2. 红色必填提示
3. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证权威数据源必填校验,无,"1. 进入【数据架构-数据源认证流程】表单页面
2. 不填写权威数据源, 点击【发起流程】
3. 填写权威数据源, 点击【发起流程】
","1. 成功进入表单页面
2. 红色必填提示
3. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据源认证流程 验证发起数据源认证流程完整流程,拥有【数据安全定级流程】发起权限且对应L2节点下存在当前用户为"数据标准责任人"的L3节点,"1. 进入【流程中心-流程发起】页面
2. 检查页面展示的流程目录结构
3. 点击【数据架构-数据源认证流程】二级目录
4. 在【认责数据所属L2业务域】中选择L2节点
5. 检查回显的L3明细列表
6. 填写权威数据源(1-100位)
7. 填写权威数据源编码(1-100位)
8. 选择产生方式(人工录入/接口产生)
9. 填写备注/冲突解决方案(1-2000位)
10. 点击【发起流程】按钮
11. 查看流程列表,确认流程已发起
","1. 页面加载正常
2. 展示二层目录结构
3. 成功跳转至数据源认证流程配置表单页面
4. 选择成功,下拉列表中正确显示所有L2节点
5. 正确列出该L2下所有数据标准责任人=当前用户的L3业务对象明细列表
6. 填写成功
7. 填写成功
8. 选择成功
9. 填写成功
10. 流程发起成功,业务流水号格式为SJRZ+8位日期+本日第几个提交的表单
11. 流程列表中新增一条流程记录,流程状态: 审批中
",,1,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 异常场景 验证数据源认证流程(非直接管理业务对象),1) L3业务对象字段数据完整<br>2) 当前用户不存在未办结的数据安全定级流程<br>3) 存在记录: L2责任人 != 当前用户 and L3清单中存在L3数据责任人 != 当前用户,"1. 点击【发起流程】按钮
2. 点击【确定】
","1. 弹窗二次确认, “存在非直接受您管埋的业务对象，是否确认提交？”
2. 提交成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 异常场景 验证数据安全定级流程(重复性校验拦截),"1) L3业务对象字段数据完整<br>2) 拥有发起权限且当前用户未办结的同流程中, 存在重复L3元素","1. 点击【发起流程】按钮
","1. Toast提示: 请勿重复提交
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 异常场景 验证数据安全定级流程(完整性校验拦截),拥有发起权限且存在L3业务对象字段数据不完整,"1. 进入【数据安全-数据安全定级流程】表单页面
2. 在【认责数据所属L2业务域】中选择L2并加载L3
3. 检查L3业务对象明细列表
4. 检查L3查询结果
5. 移除非定级目标的L3后, 为剩余L3赋予安全等级
6. 点击【发起流程】
","1. 成功进入
2. 加载成功
3. 列出该L2下所有L3数据责任人 = 当前用户的L3业务对象
4. 1) 查询结果 > 0, L3清单填充该 L2下所有L3
2) 查询结果 = 0, L3清单填充查询结果
5. 配置成功
6. Toast提示: 表单填写校验不通过
",,1,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 异常场景 验证数据安全定级流程(未授权访问拦截),无【数据安全定级流程】发起权限,"1. 进入【流程中心-流程发起】页面
2. 点击【数据安全-数据安全定级流程】二级目录
","1. 进入成功
2. Toast提示: 您不是本流程的发起者,无法进入流程配置表单页面
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 验证安全备注长度校验,无,"1. 进入【数据安全-数据安全定级流程】表单页面
2. 在【认责数据所属L2业务域】中选择L2并加载L3
3. 在安全备注字段输入超过2000位的文本
4. 点击【发起流程】
5. 修改安全备注为2000位以内的文本
6. 点击【发起流程】
","1. 成功进入表单页面
2. 加载成功
3. 输入成功
4. Toast提示: 安全备注长度不能超过2000位或类似信息,流程无法发起
5. 修改成功
6. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 验证当前安全等级必选校验,拥有【数据安全定级流程】发起权限且对应L2节点下存在当前用户为"数据标准责任人"的L3节点,"1. 进入【数据安全-数据安全定级流程】表单页面
2. 在【认责数据所属L2业务域】中选择一个L2节点并加载L3
3. 不选择当前安全等级, 点击【发起流程】
4. 填写当前安全等级(选择1)
5. 点击【发起流程】
","1. 成功进入表单页面
2. 加载成功
3. 发起失败, 必填提示
4. 填写成功
5. 流程发起成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 验证无匹配L3可定级拦截,拥有发起权限且当前用户在某L2下并无作为"数据标准责任人"的L3节点,"1. 进入【数据安全-数据安全定级流程】表单页面
2. 在【认责数据所属L2业务域】中选择一个L2节点
","1. 成功进入表单页面
2. 1) Toast提示: 无您可定级数据
2) 系统不生成对应的L3明细表单,L3明细列表为空
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 验证已办结流程可重复发起,拥有【数据安全定级流程】发起权限且存在已办结的数据安全定级流程,"1. 进入【数据安全-数据安全定级流程】表单页面
2. 选择与已办结流程相同的L2节点并加载L3
3. 点击【发起流程】
4. 查看流程列表
","1. 成功进入表单页面
2. 加载成功
3. 流程发起成功
4. 流程列表中新增一条流程记录,与之前的已办结流程独立,互不影响,业务流水号不同
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 验证表单字段回显完整性,无,"1. 进入【数据安全-数据安全定级流程】表单页面
2. 在【认责数据所属L2业务域】中选择一个L2节点并加载L3
3. 检查L3明细列表回显的字段信息
","1. 成功进入表单页面
2. 加载成功
3. L3字段正确回显,包括: 序号、L3业务对象名称、L3业务对象完整编码、业务对象定义、原安全等级(1/2/3/4/5/未定级)、当前安全等级、安全备注
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据安全定级流程 验证发起数据安全定级流程完整流程,拥有【数据安全定级流程】发起权限且对应L2节点下存在当前用户为"数据标准责任人"的L3节点,"1. 进入【流程中心-流程发起】页面
2. 检查页面展示的流程目录结构
3. 点击【数据安全-数据安全定级流程】二级目录
4. 在【认责数据所属L2业务域】中选择一个L2节点
5. 检查回显的L3明细列表
6. 选择当前安全等级(选择1/2/3/4/5)
7. 填写安全备注
8. 点击【发起流程】按钮
9. 查看流程列表,确认流程已发起
","1. 页面加载正常
2. 展示二层目录结构
3. 成功跳转至数据安全定级流程配置表单页面
4. 选择成功,下拉列表中正确显示所有L2节点
5. 正确列出该L2下所有数据标准责任人=当前用户的L3业务对象明细列表,包含:L3业务对象序号、名称、完整编码、业务对象定义、原安全等级(1/2/3/4/5/未定级)、当前安全等级、安全备注
6. 选择成功
7. 填写成功(非必填, 1-2000位)
8. 流程发起成功,业务流水号格式为AQDJ+8位日期+本日第几个提交的表单
9. 流程列表中新增一条流程记录,流程状态: 审批中
",,1,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 验证L3节点支持选择多选,拥有【数据安全定级流程】发起权限且对应L2节点下存在多个当前用户为"数据标准责任人"的L3节点,"1. 进入【数据安全-数据安全定级流程】表单页面
2. 在【认责数据所属L2业务域】中选择一个L2节点并加载L3
3. 检查L3明细列表中显示的L3数量
4. 为多个L3分别填写当前安全等级
5. 点击【发起流程】按钮
6. 进入流程列表, 查看流程详情
","1. 成功进入表单页面
2. L3节点加载成功
3. L3明细列表中正确显示该L2下所有符合条件的L3节点
4. 填写成功
5. 流程发起成功
6. 流程详情中显示所有已加载的L3节点信息,数量与L2下符合条件的L3数量一致
",,2,功能测试,功能测试阶段
【0208版本】数据目录管理,管理域目录管理 编辑 验证编辑提交(仅存在非目录类流程时不被锁定),存在L3节点G且仅挂接有非目录类未办结流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开至L3层级并找到节点G
3. 点击节点G【编辑】按钮
4. 在弹窗中修改任一合法字段
5. 点击【保存】
","1. 页面加载成功
2. 成功打开L3编辑弹窗
3. 保存时仅在扩展后的目录相关流程范围内进行校验,忽略非目录类流程
4. 因不存在未办结目录相关流程,本次编辑保存成功且无锁定提示
5. 列表及详情中节点G展示为更新后的新值
",,2,功能测试,功能测试阶段
【0208版本】数据目录管理,管理域目录管理 编辑 验证L1/L2/L3编辑(无目录相关流程时编辑成功),存在一组全新目录E1-E2-E3且无任何关联目录相关流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 依次对L3节点E3、L2节点E2、L1节点E1执行以下操作: 点击对应【编辑】按钮
3. 在弹窗中修改合法字段
4. 点击【保存】
5. 刷新列表并查看相应节点详情
","1. 页面加载成功
2. 各级编辑弹窗均可正常打开
3. 保存时未检测到任何未办结目录相关流程
4. L1/L2/L3各级编辑均保存成功,无锁定提示
5. 列表及详情展示的数据与编辑内容一致
",,2,功能测试,功能测试阶段
【0208版本】数据目录管理,管理域目录管理 编辑 验证L3业务对象编辑(仅存在已办结目录相关流程时允许编辑),存在L3节点F且相关目录类流程均为已办结状态,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开至L3层级并找到节点F, 点击节点F【编辑】按钮
3. 在弹窗中修改节点名称、英文名称等合法字段
4. 点击【保存】
5. 返回列表并查看节点F详情
","1. 页面加载成功
2. 成功打开L3编辑弹窗
3. 保存时仅检测到已办结目录相关流程,未命中未办结流程
4. 本次编辑保存成功,无锁定提示
5. 列表与详情中节点F信息更新为编辑后的内容
",,2,功能测试,功能测试阶段
【0208版本】数据目录管理,管理域目录管理 编辑 异常场景 验证L1主题域分组编辑(下属L2或L3存在未办结目录相关流程时锁定),存在L1节点E且其下属L2或L3存在未办结目录相关流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开树形结构并找到L1节点E
3. 点击L1节点E【编辑】按钮
4. 在弹窗中修改节点名称或业务数据Owner等合法字段
","1. 页面加载成功
2. 成功打开L1编辑弹窗
3. 保存时检测到下属L2或L3存在未办结目录相关流程
4. Toast提示“存在相关未完成流程,已锁定。”
",,1,功能测试,功能测试阶段
【0208版本】数据目录管理,管理域目录管理 编辑 异常场景 验证L2主题域编辑(子L3存在未办结目录相关流程时锁定),存在L2节点D且其子L3中至少一个挂接有未办结目录相关流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开树形结构并找到L2节点D
3. 点击L2节点D【编辑】按钮
4. 在弹窗中修改节点名称或业务数据负责人等合法字段
","1. 页面加载成功
2. 成功打开L2编辑弹窗
3. 保存时检测到子L3存在未办结目录相关流程
4. Toast提示“存在相关未完成流程,已锁定。”
",,1,功能测试,功能测试阶段
【0208版本】数据目录管理,管理域目录管理 编辑 异常场景 验证L3业务对象编辑(存在未办结主数据识别流程锁定),存在L3节点C且挂接有未办结主数据识别流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开至L3层级并找到节点C
3. 点击节点C【编辑】按钮
4. 在弹窗中修改任一合法字段
","1. 页面加载成功
2. 成功打开L3编辑弹窗
3. 保存时检测到节点C存在未办结主数据识别流程
4. Toast提示“存在相关未完成流程,已锁定。”
",,1,功能测试,功能测试阶段
